walk	document	revision	sha256
APIs-guru/openapi-directory	APIs/1forge.com/0.0.1/swagger.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	66f7b3337053011fa1cf39af503ccef595dc78501eecac0482cc66c29d5c8e81
APIs-guru/openapi-directory	APIs/1password.com/events/1.2.0/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	567a912a79601940095aa6100f29b5cf9c9f12a10b94099b1a7952bb213914f4
APIs-guru/openapi-directory	APIs/1password.local/connect/1.5.7/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	0e14a654c095fe0763108359c8369a6e35e3ca2e8309d1009d4d867df4d12426
APIs-guru/openapi-directory	APIs/6-dot-authentiqio.appspot.com/6/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	848cd48a639d89d7a1ec58d821ea3c19220c9efbaa88ebfd3e6a7f18c0d48b3a
APIs-guru/openapi-directory	APIs/ably.io/platform/1.1.0/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	87a9a24552041b3a7cd6f175be52ecd36f95e357ccef44241a41d62e3bcf1ad4
APIs-guru/openapi-directory	APIs/ably.net/control/1.0.14/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	4c5fa2121c6427caf4e672f6b0238e93f33324d2236383206ee6111d1d323315
APIs-guru/openapi-directory	APIs/ably.net/control/v1/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	16ee2033835007cfbb243d10ef407ea7aae10c8d753a03181151b1afcd2d2b4a
APIs-guru/openapi-directory	APIs/abstractapi.com/geolocation/1.0.0/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	1a95baf91f7cd7f62f85d1e08ab93b74e8c38b373d0d31b41b3ace184de1aacb
APIs-guru/openapi-directory	APIs/adafruit.com/2.0.0/swagger.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	d324e686da5c655f36157b5e794200e09d53e3696cbd1427cc608b814a6a4a79
APIs-guru/openapi-directory	APIs/adobe.com/aem/3.7.1-pre.0/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	707f5c6241d4948054cc7d1b3b06008c2472f84e88afd49dafb4c168a282da6b
APIs-guru/openapi-directory	APIs/adyen.com/AccountService/3/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	3c4bb25d2c9c62322017716fb124bbfe7a6266a604b7fa76035a85d981a200f0
